data,time,node,relationship,property,label
5000,15059,12184,11950,24051,12184
5000,980,3144,3060,9264,3144
5000,159771,21617,43234,64851,21617
5000,58315,206313,412626,618939,206313
5000,15261,144,432662,43806,144
5000,5107,35,18438,18473,35
5000,1183,4,4236,4240,4
5000,16795,18,73622,73640,18
5000,18881,156,53570,53726,156
5000,398270,166,1096024,2192214,166
5000,57984,167,166499,166666,167
10000,103574,553329,1106658,1659987,553329
10000,104495,168,454832,455000,168
10000,45993,23713,23594,47091,23713
10000,1230,5462,5354,16170,5462
10000,381545,33237,66474,99711,33237
10000,1914,4,8753,8757,4
10000,21176,154,86358,86512,154
10000,9840,36,36028,36064,36
10000,35458,18,155889,155907,18
10000,478781,145,2547924,5095993,145
10000,109421,174,353667,353841,174
20000,163419,47285,47356,94226,47285
20000,1888,7197,7090,21377,7197
20000,721349,46250,92500,138750,46250
20000,140751,1072445,2144890,3217335,1072445
20000,27337,157,172178,172335,157
20000,9781,36,72139,72175,36
20000,2184,4,16279,16283,4
20000,39847,18,313493,313511,18
20000,189752,170,861991,862161,170
20000,780989,168,4834003,9668174,168
20000,158946,179,668364,668543,179
50000,977382,116549,117634,232751,116549
50000,2072,8720,8659,25938,8720
50000,1042658,55398,110796,166194,55398
50000,154113,5052011,1010422,1515633,505211
50000,94999,157,425735,425892,157
50000,28457,36,178012,178048,36
50000,6367,4,40038,40042,4
50000,125553,18,779738,779756,18
50000,517549,171,2161111,2161282,171
50000,3658540,165,12183605,24367375,165
50000,591348,182,1713926,1714108,182
